Device,Chip,iOS 13.0 Beta,iOS 13.0,iOS 13.1,iOS 13.1.1,iOS 13.1.2,iOS 13.1.2 v2,iOS 13.1.3,iOS 13.2,iOS 13.2.2,iOS 13.2.3,iOS 13.3,iOS 13.3.1,iOS 13.4,iOS 13.4 v2,iOS 13.4.1,iOS 13.4.1 v2,iOS 13.4.5 Beta,iOS 13.5,iOS 13.5.1,iOS 13.5.5 Beta,iOS 13.6,iOS 13.6.1,iOS 13.7
iPhone XS,A12,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver",N/A,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver",N/A,"Odyssey, unc0ver",N/A,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver"
iPhone XS Max,A12,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver",N/A,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver",N/A,"Odyssey, unc0ver",N/A,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver"
iPhone SE (2nd Gen),A13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Odyssey, unc0ver",N/A,"Odyssey, unc0ver",N/A,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver"
iPhone 11,A13,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver",N/A,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver",N/A,"Odyssey, unc0ver",N/A,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver"
iPhone 11 Pro,A13,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver",N/A,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver",N/A,"Odyssey, unc0ver",N/A,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver"
iPhone 11 Pro Max,A13,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver",N/A,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver",N/A,"Odyssey, unc0ver",N/A,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver"
,,,,,,,,,,,,,,,,,,,,,,,,
Device,Chip,iPadOS 13.0 Beta,iPadOS 13.1,iPadOS 13.1.1,iPadOS 13.1.2,iPadOS 13.1.3,iPadOS 13.2,iPadOS 13.2.2,iPadOS 13.2.3,iPadOS 13.3,iPadOS 13.3.1,iPadOS 13.4,iPadOS 13.4.1,iPadOS 13.4.5 Beta,iPadOS 13.5,iPadOS 13.5.1,iPadOS 13.5.5 Beta,iPadOS 13.6,iPadOS 13.6.1,iPadOS 13.7,,,,
iPad 5,A9,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver",,,,
iPad 6,A10,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver",,,,
iPad 7,A10,"checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver",,,,
iPad Air 2,A8X,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver",,,,
iPad Air 3,A12,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver",,,,
iPad Mini 4,A8,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver",,,,
iPad Mini 5,A12,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver",,,,
iPad Pro (9.7 inch),A9X,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver",,,,
iPad Pro (10.5 inch),A10X,"checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver",,,,
"iPad Pro (11 inch, 1st Gen)",A12X,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver",,,,
"iPad Pro (11 inch, 2nd Gen)",A12Z,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver",,,,
"iPad Pro (12.9 inch, 1st Gen)",A9X,"checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver",,,,
"iPad Pro (12.9 inch, 2nd Gen)",A10X,"checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver, Fugu","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver","checkra1n, Odyssey, unc0ver",,,,
"iPad Pro (12.9 inch, 3rd Gen)",A12X,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver",,,,
"iPad Pro (12.9 inch, 4th Gen)",A12Z,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver","Odyssey, unc0ver",,,,
